return_id,order_id,customer_id,product_id,store_id,return_date,return_quantity,return_amount,return_reason,return_status,refund_amount
50070,18760,18409,24972,18217,2025-11-03,1,324.92,Wrong Item Shipped,Approved,324.92
50071,37293,2952,21472,12090,2025-09-17,3,1286.52,Size/Fit Issue,Approved,1286.52
50072,21202,4491,29930,2226,2024-01-21,1,330.32,Defective,Approved,330.32
50073,17414,6668,23669,8928,2023-03-22,1,240.31,Duplicate Order,Approved,240.31
50074,30047,5835,16992,7317,2024-02-10,1,312.56,Defective,Approved,312.56
50075,21153,15387,13653,2277,2023-10-07,2,216.12,Late Delivery,Approved,216.12
50076,11113,22265,26685,9813,2025-06-19,2,378.82,Damaged,Approved,378.82
50077,33184,20627,17863,24676,2023-06-22,1,268.87,Size/Fit Issue,Pending,
50078,20768,14837,27860,11457,2025-12-14,1,362.08,Not as Described,Approved,362.08
50079,12420,23506,10525,24557,2026-03-27,4,982.8,Duplicate Order,Approved,982.8
50080,34667,11000,15815,28777,2024-06-06,2,299.8,Defective,Approved,299.8
50081,13151,12655,20882,29210,2023-08-02,1,14.4,Duplicate Order,Approved,14.4
50082,27049,4538,5032,25803,2025-04-16,1,651.88,Duplicate Order,Approved,651.88
50083,18394,20873,18613,2108,2026-05-17,2,67.18,Duplicate Order,Approved,67.18
50084,12695,22666,20969,8155,2025-12-11,2,1459.76,Damaged,Approved,1459.76
50085,22726,17671,2510,3524,2024-04-17,4,751.4,Not as Described,Pending,
50086,37855,23754,19425,17279,2025-06-17,3,151.41,Not as Described,Pending,
50087,13451,14857,2800,6449,2024-03-23,1,459.97,Duplicate Order,Approved,459.97
50088,25163,22634,9205,29859,2025-06-21,1,130.22,Changed Mind,Pending,
50089,10217,2871,5009,8356,2023-03-20,4,991.44,Duplicate Order,Approved,991.44
50090,16058,7737,1590,23090,2023-03-30,4,46.88,Damaged,Approved,46.88
50091,21223,21143,16730,1174,2025-07-19,1,272.06,Size/Fit Issue,Approved,272.06
50092,39383,28529,22344,10387,2024-11-23,6,2856.84,Changed Mind,Approved,2856.84
50093,19548,19568,14794,21705,2024-08-27,2,539.3,Size/Fit Issue,Rejected,0.0
50094,36667,4178,8029,14936,2024-10-18,2,445.5,Late Delivery,Approved,445.5
50095,37603,662,27764,16591,2025-05-11,1,258.08,Damaged,Approved,258.08
50096,36361,859,11115,5922,2023-07-07,5,356.75,Late Delivery,Rejected,0.0
50097,19239,29841,14766,28750,2024-01-30,5,1543.7,Late Delivery,Approved,1543.7
50098,27582,26061,18385,7381,2023-12-10,1,456.5,Changed Mind,Approved,456.5
50099,20623,4455,2734,10900,2025-06-01,4,138.36,Defective,Rejected,0.0
50100,35471,1882,5773,19104,2026-08-09,1,518.03,Damaged,Approved,518.03
50101,27368,1689,4001,6000,2025-01-21,1,365.99,Size/Fit Issue,Approved,365.99
50102,23512,6000,7221,17229,2024-03-23,2,334.18,Duplicate Order,Approved,334.18
50103,32914,3615,8617,28749,2026-02-04,5,796.15,Size/Fit Issue,Approved,796.15
50104,23250,2903,9817,15582,2026-08-05,6,2320.62,Size/Fit Issue,Approved,2320.62
50105,33339,20733,23690,2933,2026-03-09,4,274.16,Wrong Item Shipped,Approved,274.16
50106,32329,5826,5018,22460,2023-04-01,2,77.6,Late Delivery,Approved,77.6
50107,37480,27243,11549,16962,2025-07-20,2,606.84,Changed Mind,Rejected,0.0
50108,10863,7058,18428,23103,2025-05-08,3,971.73,Wrong Item Shipped,Approved,971.73
50109,27722,2795,5367,1357,2023-12-20,1,392.33,Not as Described,Approved,392.33
50110,28285,28804,28982,19447,2025-02-01,1,205.65,Defective,Approved,205.65
50111,27533,27998,2131,6280,2026-03-30,1,580.98,Damaged,Approved,580.98
50112,39912,7518,8474,27900,2026-05-26,2,1095.3,Wrong Item Shipped,Approved,1095.3
50113,28642,22297,25907,14570,2023-09-16,3,526.08,Not as Described,Approved,526.08
50114,38020,5105,8959,19233,2025-07-26,1,91.58,Size/Fit Issue,Approved,91.58
50115,26177,7104,907,22116,2024-12-06,1,471.94,Late Delivery,Approved,471.94
50116,15184,6402,25098,7045,2026-05-23,1,284.45,Defective,Approved,284.45
50117,16511,8053,18473,29942,2025-04-20,2,915.18,Wrong Item Shipped,Approved,915.18
50118,22899,23479,6707,10653,2024-05-14,1,27.61,Defective,Pending,
50119,12140,21066,14925,11138,2025-01-25,5,465.55,Defective,Approved,465.55
50120,19930,28425,19745,21020,2025-11-26,4,1365.08,Duplicate Order,Approved,1365.08
50121,29847,24596,16976,8130,2025-11-12,6,762.36,Changed Mind,Approved,762.36
50122,37494,24149,7369,22818,2025-08-02,5,2342.7,Damaged,Approved,2342.7
50123,30197,28738,12756,19078,2023-02-25,1,138.53,Size/Fit Issue,Approved,138.53
50124,29432,25165,6891,21517,2024-04-08,1,652.04,Wrong Item Shipped,Approved,652.04
50125,12175,3284,21911,21303,2024-04-04,1,188.23,Duplicate Order,Pending,
50126,20438,3694,14798,9439,2025-12-17,1,45.66,Defective,Rejected,0.0
50127,35316,19950,200,7320,2023-02-02,4,1441.0,Not as Described,Approved,1441.0
50128,30074,9880,23161,9815,2023-03-26,2,898.92,Wrong Item Shipped,Approved,898.92
50129,19699,24346,10143,25542,2025-10-19,2,230.72,Not as Described,Approved,230.72
50130,32619,10774,26766,292,2024-02-24,1,244.19,Not as Described,Approved,244.19
50131,37477,26019,20277,16694,2023-10-13,2,729.98,Not as Described,Approved,729.98
50132,37260,8255,24134,7886,2026-02-09,3,1217.28,Size/Fit Issue,Approved,1217.28
50133,35507,23888,27148,6146,2026-02-21,2,1431.6,Defective,Approved,1431.6
50134,16769,20127,13314,11133,2023-12-22,1,567.26,Late Delivery,Approved,567.26
50135,10036,24029,17547,8858,2024-12-18,1,21.5,Changed Mind,Approved,21.5
50136,35752,27937,12300,19583,2025-09-18,1,232.14,Changed Mind,Approved,232.14
50137,10844,3654,1852,17278,2023-10-09,2,114.72,Late Delivery,Approved,114.72
50138,28255,4845,8663,6309,2023-01-09,1,213.67,Changed Mind,Pending,
50139,31147,6080,1961,10229,2026-05-31,1,315.06,Defective,Approved,315.06
50140,36688,12832,25673,2244,2024-12-03,3,1993.23,Changed Mind,Approved,1993.23
50141,25057,6591,28284,5145,2023-10-15,2,920.06,Defective,Approved,920.06
50142,27602,21618,25045,14387,2025-06-25,6,2019.42,Size/Fit Issue,Approved,2019.42
50143,15935,9018,18119,29149,2025-07-07,4,116.92,Damaged,Approved,116.92
50144,12538,9282,2025,7772,2024-02-09,1,122.02,Late Delivery,Approved,122.02
50145,13668,21890,16251,24146,2023-07-22,2,656.08,Size/Fit Issue,Approved,656.08
50146,15057,25398,8617,13268,2024-03-10,3,477.69,Wrong Item Shipped,Pending,
50147,29881,9567,22538,6534,2023-11-15,1,245.32,Late Delivery,Approved,245.32
50148,31018,5991,9848,20072,2026-08-18,1,342.65,Duplicate Order,Approved,342.65
50149,32072,16262,11669,13050,2025-03-23,2,29.66,Damaged,Approved,29.66
50150,31318,17858,5980,23341,2023-11-01,1,363.9,Not as Described,Approved,363.9
50151,27595,10640,18793,11695,2025-03-01,2,1102.8,Late Delivery,Pending,
50152,23416,9434,6478,21176,2023-11-29,1,327.58,Defective,Rejected,0.0
50153,39417,24016,11705,11443,2023-01-31,3,777.48,Defective,Approved,777.48
50154,15297,4240,12990,20845,2024-08-28,1,307.04,Defective,Rejected,0.0
50155,31133,5068,22765,6589,2024-09-08,4,1770.64,Defective,Approved,1770.64
50156,11449,12473,27809,15956,2025-07-26,2,595.3,Changed Mind,Approved,595.3
50157,17115,3488,4420,6506,2025-05-07,4,1159.48,Defective,Approved,1159.48
50158,27332,1720,1216,5755,2026-02-06,1,271.49,Damaged,Pending,
50159,24987,26813,5512,2411,2023-05-10,2,1347.92,Duplicate Order,Approved,1347.92
50160,28259,5966,2052,3612,2025-12-03,5,999.85,Not as Described,Approved,999.85
50161,10685,16809,20181,15912,2026-06-05,2,782.92,Wrong Item Shipped,Approved,782.92
50162,15506,6554,11623,12235,2024-12-22,4,1154.68,Duplicate Order,Rejected,0.0
50163,11004,4071,9453,23237,2025-08-16,2,769.78,Late Delivery,Approved,769.78
50164,17045,10339,12987,12626,2024-09-26,1,535.38,Late Delivery,Approved,535.38
50165,22830,14264,1544,11552,2024-04-13,1,275.45,Damaged,Approved,275.45
50166,33046,11522,23251,1508,2025-07-14,1,362.57,Damaged,Pending,
50167,33089,28693,7379,10316,2023-04-13,2,504.26,Size/Fit Issue,Approved,504.26
50168,20460,7572,28955,29508,2024-05-15,1,386.73,Damaged,Rejected,0.0
50169,29642,18787,24892,16900,2026-08-18,4,473.6,Damaged,Approved,473.6
50170,24498,6580,8406,19191,2023-05-26,1,42.91,Defective,Approved,42.91
50171,30669,14567,28119,2811,2025-05-11,4,791.32,Size/Fit Issue,Approved,791.32
50172,15491,10058,30030,20511,2023-09-18,3,1563.78,Size/Fit Issue,Approved,1563.78
50173,38228,16285,23228,27668,2026-03-27,1,96.78,Late Delivery,Pending,
50174,17168,19523,1663,4015,2026-01-19,1,225.03,Defective,Rejected,0.0
50175,13575,9250,6771,15334,2024-06-26,1,461.29,Size/Fit Issue,Approved,461.29
50176,16976,2485,4904,5723,2023-08-21,2,154.92,Not as Described,Pending,
50177,26600,21337,3554,11523,2024-03-02,3,369.9,Damaged,Approved,369.9
50178,12428,12677,4188,26746,2023-06-23,3,127.74,Changed Mind,Pending,
50179,18726,3850,29347,2882,2023-07-14,1,530.61,Duplicate Order,Approved,530.61
50180,33830,19227,1844,23142,2024-02-08,2,102.16,Wrong Item Shipped,Approved,102.16
50181,35129,15593,12783,25097,2025-12-04,1,8.21,Changed Mind,Approved,8.21
50182,15375,3027,20598,22230,2024-06-04,6,785.76,Not as Described,Approved,785.76
50183,35121,13905,27230,2339,2025-08-22,1,374.56,Late Delivery,Approved,374.56
50184,35184,19792,15509,15661,2026-08-18,1,136.31,Duplicate Order,Pending,
50185,23413,1518,14074,27220,2025-06-23,2,1202.96,Not as Described,Approved,1202.96
50186,15539,2728,19965,13489,2024-07-26,1,60.37,Late Delivery,Approved,60.37
50187,27426,21560,2629,16201,2024-12-01,4,2473.68,Duplicate Order,Rejected,0.0
50188,34513,29318,10923,3339,2023-12-25,2,493.88,Size/Fit Issue,Approved,493.88
50189,18093,11729,20669,10252,2026-08-18,1,415.38,Damaged,Approved,415.38
50190,30192,4831,16282,14984,2025-07-07,3,1487.31,Not as Described,Approved,1487.31
50191,14594,15455,1921,4104,2025-07-17,3,1836.48,Not as Described,Approved,1836.48
50192,21916,2772,21338,15066,2026-06-19,1,283.8,Size/Fit Issue,Approved,283.8
50193,24845,2231,24012,22439,2025-08-19,2,910.28,Late Delivery,Pending,
50194,20815,14424,23023,7547,2023-06-16,2,914.86,Size/Fit Issue,Approved,914.86
50195,38818,12471,3809,29759,2024-03-31,5,2928.65,Duplicate Order,Approved,2928.65
50196,12228,9841,23076,15966,2026-07-27,1,92.22,Wrong Item Shipped,Pending,
50197,17987,8501,25748,6051,2025-10-08,3,1521.87,Defective,Approved,1521.87
50198,38751,21362,4287,21242,2025-12-06,2,80.66,Defective,Pending,
50199,38355,8635,1678,17925,2023-12-03,1,123.57,Wrong Item Shipped,Approved,123.57
50200,12924,19233,28106,22809,2024-11-16,2,1079.56,Duplicate Order,Approved,1079.56
50201,29917,27806,9896,4487,2023-09-05,2,712.7,Late Delivery,Pending,
50202,18433,4555,20905,10460,2025-07-17,3,260.07,Wrong Item Shipped,Approved,260.07
50203,13817,28249,24674,9888,2026-01-24,1,280.67,Defective,Approved,280.67
50204,35429,20765,4471,7493,2025-11-13,2,407.0,Changed Mind,Approved,407.0
50205,23910,24508,27281,19777,2024-03-07,4,1761.92,Not as Described,Approved,1761.92
50206,29554,7063,28304,284,2026-08-04,6,2682.6,Defective,Approved,2682.6
50207,24447,30368,14137,3479,2023-06-06,1,316.79,Changed Mind,Rejected,0.0
50208,25641,2494,22755,6977,2024-10-27,1,597.28,Size/Fit Issue,Approved,597.28
50209,20384,3341,9079,4320,2025-02-06,3,303.36,Duplicate Order,Approved,303.36
50210,18722,13830,1988,3441,2026-03-08,4,497.24,Defective,Approved,497.24
50211,10647,5297,1264,1320,2024-07-07,1,343.33,Not as Described,Pending,
50212,39043,24506,10902,23691,2023-01-25,3,122.49,Damaged,Pending,
50213,37509,10839,25920,14716,2025-03-14,2,976.58,Size/Fit Issue,Approved,976.58
50214,22184,11529,528,547,2023-07-16,1,687.24,Late Delivery,Pending,
50215,34568,19182,9853,22808,2023-10-31,1,360.3,Late Delivery,Approved,360.3
50216,11090,23301,10828,9737,2025-01-06,2,895.34,Duplicate Order,Approved,895.34
50217,26566,862,22935,1030,2024-08-15,1,142.13,Size/Fit Issue,Approved,142.13
50218,38206,21712,19883,10511,2025-01-21,2,315.74,Changed Mind,Approved,315.74
50219,39486,30078,7852,16205,2024-12-16,1,349.65,Size/Fit Issue,Pending,
50220,18549,10381,29782,18366,2025-08-30,4,31.36,Changed Mind,Pending,
50221,37205,18632,1606,21860,2023-12-04,6,1919.34,Damaged,Approved,1919.34
50222,11782,20583,28757,14536,2023-12-21,3,444.48,Damaged,Approved,444.48
50223,39693,27786,20549,15722,2025-07-30,2,610.1,Defective,Approved,610.1
50224,18495,14912,8267,20600,2023-10-16,4,780.8,Late Delivery,Pending,
50225,36386,29081,12276,4906,2026-04-23,3,836.07,Not as Described,Approved,836.07
50226,13129,1159,20305,19156,2024-04-06,1,519.44,Duplicate Order,Pending,
50227,29201,27413,19431,20612,2023-09-06,2,231.24,Late Delivery,Approved,231.24
50228,21308,27515,13476,23977,2025-05-29,4,498.4,Wrong Item Shipped,Approved,498.4
50229,15615,14684,8711,22129,2024-12-08,2,1099.56,Defective,Pending,
50230,25579,1960,4956,28533,2025-02-13,5,2379.8,Duplicate Order,Pending,
50231,30682,23395,12988,29044,2025-01-10,3,1417.38,Duplicate Order,Approved,1417.38
50232,35034,5168,25753,17471,2023-09-15,1,230.27,Defective,Approved,230.27
50233,26427,17617,24841,9452,2023-10-23,1,157.72,Not as Described,Approved,157.72
50234,29991,22391,30062,26321,2025-05-28,1,396.14,Changed Mind,Approved,396.14
50235,32428,14478,12620,7737,2024-03-09,3,748.74,Changed Mind,Rejected,0.0
50236,10645,7830,19644,26382,2023-02-14,1,184.38,Wrong Item Shipped,Approved,184.38
50237,34072,17825,16976,10850,2026-07-13,5,635.3,Size/Fit Issue,Approved,635.3
50238,18180,6938,20778,7639,2026-03-20,1,397.98,Defective,Rejected,0.0
50239,26100,14155,14544,6769,2024-02-20,1,181.94,Size/Fit Issue,Approved,181.94
50240,20363,19984,11273,23773,2023-07-30,1,85.86,Defective,Rejected,0.0
50241,19668,11715,18678,19273,2024-02-26,1,169.39,Changed Mind,Pending,
50242,18239,13296,20248,15754,2024-02-16,2,475.2,Size/Fit Issue,Approved,475.2
50243,25171,810,1609,19443,2023-05-05,4,1223.64,Damaged,Approved,1223.64
50244,20881,2071,25553,6944,2024-08-30,2,406.28,Duplicate Order,Approved,406.28
50245,15021,26357,20140,21073,2023-07-25,5,1968.7,Damaged,Approved,1968.7
50246,30266,14889,16723,25362,2025-10-14,2,623.74,Not as Described,Approved,623.74
50247,35848,4517,4813,22203,2024-04-23,3,923.64,Damaged,Approved,923.64
50248,38662,8363,12942,27380,2025-12-29,3,1760.7,Size/Fit Issue,Rejected,0.0
50249,13237,7667,11762,7371,2025-10-04,5,2167.05,Late Delivery,Pending,
50250,19306,19890,28955,23482,2024-04-28,3,1160.19,Changed Mind,Pending,
50251,28142,3065,3810,4272,2024-06-08,1,444.44,Defective,Approved,444.44
50252,32022,5474,28049,28442,2024-07-02,4,1374.84,Size/Fit Issue,Approved,1374.84
50253,12667,19630,29001,5956,2026-05-04,3,730.86,Damaged,Approved,730.86
50254,39498,15044,14632,6770,2025-10-09,1,704.1,Size/Fit Issue,Approved,704.1
50255,18697,6819,15820,4328,2026-03-18,4,606.6,Not as Described,Approved,606.6
50256,36711,23346,143,18624,2023-04-08,1,253.29,Late Delivery,Rejected,0.0
50257,11162,28053,1545,27775,2025-03-05,1,177.66,Duplicate Order,Approved,177.66
50258,27497,5640,18555,1017,2023-08-15,1,460.81,Size/Fit Issue,Pending,
50259,14579,8426,6898,403,2025-04-06,3,942.66,Duplicate Order,Approved,942.66
50260,36685,21925,27237,13103,2023-11-15,2,1006.2,Damaged,Approved,1006.2
50261,14189,23776,26893,23307,2026-03-14,1,382.63,Wrong Item Shipped,Approved,382.63
50262,21172,15139,1553,1263,2024-03-03,5,1847.05,Wrong Item Shipped,Approved,1847.05
50263,32210,25117,2215,18724,2024-12-03,1,624.26,Size/Fit Issue,Approved,624.26
50264,39969,516,8882,14788,2023-04-05,2,871.84,Size/Fit Issue,Approved,871.84
50265,39633,28652,17879,25453,2025-05-22,1,293.32,Defective,Approved,293.32
50266,26967,8191,11236,8163,2023-02-19,1,491.36,Late Delivery,Rejected,0.0
50267,19811,13101,14688,11168,2024-08-09,2,494.22,Late Delivery,Approved,494.22
50268,16832,1156,17112,370,2024-10-17,3,1165.71,Not as Described,Approved,1165.71
50269,27620,20706,29600,11961,2023-10-04,5,2418.9,Late Delivery,Approved,2418.9
50270,31219,30242,538,29172,2026-04-14,6,579.12,Size/Fit Issue,Approved,579.12
50271,29436,13915,11589,8519,2024-06-18,1,354.72,Not as Described,Approved,354.72
50272,19526,12289,27245,231,2025-10-04,2,568.32,Changed Mind,Approved,568.32
50273,13007,7631,7288,23021,2024-12-08,1,433.26,Duplicate Order,Approved,433.26
50274,22497,27046,10636,23838,2023-02-17,6,877.56,Defective,Approved,877.56
50275,31187,24677,25940,2844,2023-11-13,2,257.04,Duplicate Order,Approved,257.04
50276,29141,15713,18446,9443,2025-07-30,3,1327.02,Wrong Item Shipped,Approved,1327.02
50277,33982,29550,10498,15178,2023-06-23,3,1161.0,Duplicate Order,Pending,
50278,26139,13805,8737,10951,2025-07-02,4,1176.48,Duplicate Order,Pending,
50279,13731,8509,14280,28680,2023-03-20,1,132.41,Size/Fit Issue,Approved,132.41
50280,31443,22307,2146,10544,2025-03-08,4,2511.04,Duplicate Order,Approved,2511.04
50281,25981,23506,26097,1471,2023-09-03,1,599.03,Damaged,Approved,599.03
50282,36442,2754,18187,16776,2026-08-12,4,1553.8,Wrong Item Shipped,Approved,1553.8
50283,11148,3142,17929,1428,2026-03-07,1,23.49,Wrong Item Shipped,Pending,
50284,30066,11295,28611,23355,2025-08-21,3,1803.69,Damaged,Pending,
50285,12989,14372,7844,23612,2025-05-07,2,904.6,Wrong Item Shipped,Approved,904.6
50286,36041,1899,23914,7934,2025-06-20,2,282.92,Damaged,Approved,282.92
50287,26605,5536,24698,5429,2025-07-24,1,350.06,Wrong Item Shipped,Pending,
50288,24862,3499,12752,16322,2024-02-06,1,636.61,Duplicate Order,Approved,636.61
50289,35614,29441,10582,12870,2026-04-08,1,81.57,Late Delivery,Rejected,0.0
50290,21721,11774,7377,737,2023-08-01,3,1108.62,Defective,Approved,1108.62
50291,16767,25065,4495,28656,2023-03-03,3,937.26,Duplicate Order,Approved,937.26
50292,29075,9217,11335,14061,2023-02-22,1,155.13,Defective,Approved,155.13
50293,18776,8679,15923,12827,2025-12-30,3,209.37,Wrong Item Shipped,Pending,
50294,20320,16110,15792,29948,2026-07-05,3,1601.4,Size/Fit Issue,Approved,1601.4
50295,26616,28298,17031,10443,2024-09-29,2,677.82,Wrong Item Shipped,Approved,677.82
50296,15492,26026,10263,4981,2025-06-07,2,799.42,Changed Mind,Approved,799.42
50297,14393,17398,102,14380,2024-07-19,2,409.08,Changed Mind,Approved,409.08
50298,22826,6086,203,16901,2025-02-12,2,582.44,Duplicate Order,Pending,
50299,38950,9915,11715,7158,2024-06-15,1,290.96,Late Delivery,Rejected,0.0
50300,27586,23757,28067,15429,2023-05-13,4,2142.48,Wrong Item Shipped,Approved,2142.48
50301,21142,5016,28314,17838,2025-06-16,2,411.16,Late Delivery,Approved,411.16
50302,30632,2446,14202,24463,2026-08-09,4,296.2,Damaged,Approved,296.2
50303,31091,15656,21680,20182,2025-09-26,3,2134.14,Changed Mind,Approved,2134.14
50304,37292,14289,24055,11479,2024-05-10,1,318.55,Duplicate Order,Pending,
50305,18173,6047,13694,24405,2025-08-14,1,180.5,Not as Described,Approved,180.5
50306,22859,14313,14668,3162,2024-04-08,1,280.31,Wrong Item Shipped,Pending,
50307,10324,16483,16195,15833,2023-10-22,3,951.18,Defective,Approved,951.18
50308,12461,6991,5902,18513,2025-02-05,1,440.52,Not as Described,Approved,440.52
50309,38887,29498,26235,29899,2023-09-01,2,62.72,Wrong Item Shipped,Rejected,0.0
50310,21301,27351,20825,12101,2024-01-30,1,243.76,Duplicate Order,Approved,243.76
50311,14892,16808,14647,2346,2023-07-24,3,1972.32,Defective,Approved,1972.32
50312,33356,22406,19282,12086,2026-08-18,3,619.92,Changed Mind,Pending,
50313,27384,9761,23798,29759,2025-08-03,3,1489.17,Not as Described,Approved,1489.17
50314,16972,12024,7702,20883,2025-12-12,2,280.22,Wrong Item Shipped,Approved,280.22
50315,32379,11084,15203,27180,2023-09-17,1,141.75,Not as Described,Approved,141.75
50316,23659,3393,23405,23595,2024-12-28,1,529.34,Not as Described,Approved,529.34
50317,30608,23129,23682,17358,2026-08-09,1,279.85,Damaged,Approved,279.85
50318,38485,19334,20049,10585,2026-04-04,6,1197.3,Changed Mind,Pending,
50319,33629,12858,13589,29879,2024-10-07,4,1003.04,Not as Described,Approved,1003.04
50320,27548,17607,13838,12757,2023-02-22,4,39.64,Not as Described,Approved,39.64
50321,13365,30300,15099,26240,2023-05-05,2,696.6,Size/Fit Issue,Approved,696.6
