inventory_id,product_id,store_id,warehouse_id,snapshot_date,stock_quantity,reserved_quantity,available_quantity,reorder_level,inventory_status
107164,23763,14236.0,,2026-03-30,496,10,486,29.0,Overstock
102839,26200,,97.0,2026-04-09,442,97,345,28.0,In Stock
107817,795,26029.0,,2026-08-18,256,81,175,21.0,In Stock
98395,22090,,195.0,2026-02-22,400,85,315,63.0,In Stock
92974,15909,29444.0,,2026-05-12,18,8,10,59.0,Low Stock
92859,10922,12228.0,,2026-01-19,149,17,132,100.0,In Stock
105656,15792,29161.0,,2026-04-10,458,98,360,43.0,In Stock
116965,1848,,169.0,2026-02-12,404,66,338,12.0,In Stock
105926,11068,19615.0,,2026-05-29,114,93,21,90.0,unknown
114098,20693,3725.0,,2026-04-02,74,74,59,67.0,Out of Stock
93426,25026,7257.0,,2026-07-29,267,84,183,41.0,In Stock
112808,28694,18734.0,,2026-04-03,112,62,50,45.0,In Stock
103329,2407,26517.0,,2026-07-08,239,75,164,51.0,In Stock
108924,23351,25895.0,,2026-06-11,166,1,165,82.0,In Stock
118993,29205,25705.0,,2026-04-08,454,92,362,66.0,In Stock
95514,8287,9402.0,,2026-01-19,280,84,196,56.0,In Stock
99481,14934,4928.0,,2026-06-15,76,40,36,68.0,N/A
118967,16313,,15.0,2026-04-27,291,6,285,56.0,In Stock
93704,13834,8064.0,,2026-02-14,500,26,474,71.0,Overstock
119449,20342,7432.0,,2026-02-20,397,61,336,28.0,In Stock
119476,12193,13417.0,,2026-08-07,495,56,439,62.0,Overstock
116078,22762,23958.0,,2026-02-04,65,46,19,91.0,Low Stock
93065,12246,5154.0,,2026-07-26,206,71,135,91.0,In Stock
107104,23700,1230.0,,2026-05-08,56,15,41,91.0,Low Stock
108785,17198,,145.0,2026-07-06,287,42,245,97.0,In Stock
108069,23785,8660.0,,2026-02-02,98,15,83,20.0,In Stock
114907,30052,10126.0,,2026-04-22,-14,57,78,49.0,in stock
92745,8840,6268.0,,2026-01-24,474,67,407,76.0,Overstock
109569,159,12694.0,,2026-01-26,276,94,182,23.0,In Stock
107606,20425,19304.0,,2026-07-10,70,2,68,30.0,In Stock
114404,14109,,116.0,2026-05-25,443,47,396,53.0,In Stock
110459,29640,14074.0,,2026-04-19,108,94,14,76.0,Low Stock
119444,19007,5688.0,,2026-01-23,300,58,242,32.0,In Stock
110673,27644,29588.0,,2026-03-07,306,96,210,27.0,In Stock
93054,7499,21511.0,,2026-03-22,474,8,466,89.0,overstock
104527,25906,3992.0,,2026-04-28,460,24,436,26.0,Overstock
90431,27341,9024.0,,2026-02-13,67,52,15,56.0,Low Stock
95347,5727,4521.0,,2026-01-16,469,27,442,83.0,Overstock
119829,2956,6018.0,,2026-08-16,125,47,78,,In Stock
97913,8740,4844.0,,2026-02-26,225,1,224,68.0,In Stock
106606,9083,10591.0,,2026-05-26,12,10,2,68.0,Low Stock
111956,21858,3037.0,,2026-05-05,61,29,32,38.0,Low Stock
115354,23885,15270.0,,2026-06-18,140,59,81,19.0,In Stock
119325,27247,1636.0,,2026-01-12,237,71,166,93.0,In Stock
111856,18941,8514.0,,2026-04-03,350,94,256,35.0,In Stock
114083,261,26106.0,,2026-02-10,277,58,219,45.0,In Stock
95602,21829,8094.0,,2026-07-30,484,29,455,50.0,Overstock
109000,24483,,123.0,2026-01-18,141,70,102,32.0,In Stock
90424,27483,23014.0,,2026-01-11,8,0,8,100.0,Low Stock
113842,6445,,129.0,2026-05-10,60,31,29,50.0,Low Stock
104265,19920,8538.0,,2026-05-27,32,11,21,73.0,Low Stock
96503,467,25558.0,,2026-01-22,420,94,326,46.0,In Stock
106534,22586,2017.0,,2027-01-01,88,87,1,16.0,Low Stock
93640,14708,,49.0,2026-06-03,322,89,233,,In Stock
96479,18922,15304.0,,2026-05-08,95,90,5,46.0,Low Stock
90218,29099,15853.0,,2026-01-16,225,92,133,43.0,In Stock
113402,5145,18512.0,,2026-01-24,317,93,224,56.0,In Stock
98892,29611,19090.0,,2026-03-04,333,89,244,81.0,In Stock
114938,21491,19564.0,,2026-07-30,231,27,204,10.0,In Stock
106299,3636,,170.0,2026-03-07,137,88,49,70.0,Low Stock
115153,9492,11909.0,,2026-04-16,190,17,173,92.0,In Stock
97210,23242,13081.0,,2026-06-17,70,37,33,69.0,Low Stock
104768,2394,3355.0,,2026-03-28,300,50,250,76.0,In Stock
105242,24884,14355.0,,2026-02-23,375,77,298,62.0,In Stock
91982,29719,29143.0,,2026-04-26,280,20,260,28.0,In Stock
114112,21578,6908.0,,2026-06-06,204,42,162,85.0,In Stock
107694,7839,28479.0,,2026-07-31,455,77,378,55.0,In Stock
91617,583,,152.0,2026-02-21,31,29,2,93.0,Low Stock
92519,16308,3159.0,,2026-02-21,496,61,435,17.0,Overstock
109978,4891,,47.0,2026-08-18,24,2,22,22.0,In Stock
99621,3235,9851.0,,2026-08-03,246,69,177,54.0,In Stock
109221,24224,10781.0,,2026-05-25,362,16,346,11.0,In Stock
95872,21728,14428.0,,2026-06-17,117,13,104,52.0,In Stock
105944,2913,2587.0,,2026-06-26,82,5,77,80.0,Low Stock
115817,14257,8792.0,,2026-02-23,71,31,40,34.0,In Stock
117890,17679,12076.0,,2026-05-07,68,30,38,62.0,Low Stock
98391,6617,2649.0,,2026-03-04,7,6,1,46.0,Low Stock
94221,359,,196.0,2026-05-13,11,2,9,12.0,Low Stock
111026,27238,20339.0,,2026-05-03,117,97,20,71.0,Low Stock
93595,27364,28192.0,,2026-02-13,496,49,447,76.0,Overstock
101445,10122,12213.0,,2026-01-31,313,11,302,54.0,In Stock
117941,6759,25613.0,,2026-05-30,31,1,30,16.0,In Stock
103170,8170,24670.0,,2026-06-24,307,70,237,34.0,In Stock
105915,8675,8530.0,,2026-06-01,50,19,31,50.0,Low Stock
104249,24813,11906.0,,2026-07-17,269,55,214,15.0,In Stock
99251,9557,17574.0,,2026-02-16,424,50,374,15.0,In Stock
102210,7006,9147.0,,2026-03-02,370,392,341,94.0,In Stock
106686,26674,7493.0,,2026-05-28,215,99,116,,In Stock
93123,22210,29791.0,,2026-03-26,295,23,272,82.0,In Stock
104065,416,25375.0,,2026-06-18,375,50,325,21.0,In Stock
91838,9027,28175.0,,2026-03-29,25,7,18,67.0,Low Stock
116074,29628,28401.0,,2026-01-15,487,524,468,32.0,Overstock
104734,18220,20824.0,,2026-06-05,383,41,342,81.0,In Stock
96120,14330,13667.0,,2026-07-16,132,96,36,73.0,Low Stock
100297,13973,21291.0,,2026-07-02,123,69,54,77.0,Low Stock
112507,10534,14214.0,,2026-05-10,75,2,73,26.0,In Stock
96188,10720,,18.0,2026-05-27,285,61,224,,In Stock
98980,15701,22994.0,,2026-06-28,470,80,390,64.0,In Stock
105081,13484,,56.0,2026-01-20,54,54,0,72.0,Out of Stock
108311,20448,15905.0,,2026-01-07,340,0,340,89.0,unknown
117273,5673,8071.0,,2026-07-22,44,35,9,16.0,Low Stock
95338,13901,1662.0,,2026-07-08,495,64,431,68.0,Overstock
101204,7141,12238.0,,2026-07-28,141,2,139,11.0,In Stock
105828,27571,18862.0,,2026-05-19,59,31,28,46.0,Low Stock
97933,27362,,63.0,2026-01-01,256,47,209,76.0,In Stock
118495,29841,17403.0,,2026-05-13,147,30,117,34.0,In Stock
113318,14041,,35.0,2026-01-06,453,22,431,90.0,Overstock
114047,29400,28437.0,,2026-01-23,380,36,344,82.0,In Stock
112735,23720,24007.0,,2026-04-27,257,42,215,20.0,In Stock
109727,7082,,10.0,2026-01-30,405,97,308,14.0,In Stock
119634,6222,13896.0,,2026-08-09,256,11,245,16.0,In Stock
109784,22023,2098.0,,2026-03-10,304,94,210,32.0,In Stock
117667,16747,18144.0,,2026-02-28,27,4,23,50.0,Low Stock
111123,17485,29431.0,,2026-07-29,59,43,16,24.0,Low Stock
115131,15917,20475.0,,2026-05-30,56,17,39,70.0,Low Stock
119782,8939,11414.0,,2026-02-05,325,43,282,71.0,In Stock
107053,5376,,136.0,2026-02-12,59,23,36,83.0,low stock
92534,25420,17006.0,,2026-04-22,367,95,272,78.0,In Stock
110121,16966,22870.0,,2026-02-01,99,46,53,60.0,Low Stock
101599,3843,11410.0,,2026-01-02,329,9,320,15.0,In Stock
116260,17224,,86.0,2026-06-02,294,62,232,10.0,In Stock
103199,18375,27293.0,,2026-01-23,360,56,304,41.0,In Stock
105724,12717,26062.0,,2026-04-15,43,18,25,11.0,In Stock
102379,10963,6661.0,,2026-06-10,23,19,4,56.0,Low Stock
94535,3948,22343.0,,2026-04-25,34,24,10,,Low Stock
101748,19626,,140.0,2026-03-24,47,19,28,87.0,Low Stock
117075,15044,17310.0,,2026-07-25,86,44,42,84.0,Low Stock
113221,27357,8845.0,,2026-07-15,105,25,80,68.0,In Stock
93593,1020,13496.0,,2026-02-02,10,8,2,91.0,Low Stock
104536,29840,8445.0,,2026-03-09,482,51,431,75.0,Overstock
112052,20658,,138.0,2026-08-06,376,1,375,29.0,In Stock
97526,15241,12853.0,,2026-01-10,388,89,299,44.0,In Stock
92169,780,29556.0,,2026-08-10,243,72,171,71.0,In Stock
102549,7931,14376.0,,2026-04-07,384,6,378,26.0,In Stock
99508,3878,5775.0,,2026-08-16,84,81,3,79.0,Low Stock
119648,24918,1769.0,,2026-08-15,2,1,1,22.0,Low Stock
105941,15831,16802.0,,2026-02-13,384,32,352,90.0,In Stock
119103,23085,8055.0,,2026-07-19,393,14,379,39.0,In Stock
96721,2456,3511.0,,2026-06-20,401,84,317,64.0,In Stock
98722,13890,4539.0,,2026-05-23,246,2,244,95.0,In Stock
117641,24148,3052.0,,2026-07-29,348,55,293,94.0,In Stock
105833,5944,18678.0,,2026-02-01,48,41,7,33.0,Low Stock
107506,23796,3529.0,,2026-06-14,158,31,127,31.0,unknown
95861,21306,1288.0,,2026-08-07,65,39,26,44.0,Low Stock
102273,29007,,8.0,2026-08-14,453,28,425,45.0,Overstock
95158,5798,12785.0,,2026-02-10,469,498,431,53.0,Overstock
109474,6999,757.0,,2026-05-14,489,66,423,64.0,Overstock
104783,27508,9656.0,,2026-06-06,310,2,308,10.0,unknown
109083,13901,,7.0,2026-04-22,243,9,234,41.0,In Stock
101071,12151,1371.0,,2026-08-12,488,41,447,32.0,Overstock
104696,17453,12438.0,,2026-06-23,337,94,243,36.0,In Stock
94394,3481,28332.0,,2026-08-08,403,17,386,53.0,In Stock
100952,24168,27514.0,,2026-05-30,36,29,7,22.0,Low Stock
97892,24767,4312.0,,2026-03-25,38,13,25,44.0,N/A
102681,7037,11931.0,,2026-01-17,399,54,345,79.0,In Stock
95473,17485,7024.0,,2026-03-31,443,70,373,53.0,In Stock
94071,4634,,21.0,2026-04-16,144,9,135,56.0,In Stock
103378,3188,,100.0,2026-04-06,389,69,341,97.0,In Stock
110972,26266,,146.0,2026-01-14,223,73,150,53.0,In Stock
116826,4838,,7.0,2026-03-17,348,11,337,100.0,In Stock
110688,21667,3279.0,,2026-04-28,123,93,30,47.0,Low Stock
91428,8685,,79.0,2026-01-18,252,98,154,35.0,In Stock
116719,18448,20993.0,,2026-05-28,305,34,271,36.0,In Stock
97673,7186,7624.0,,2026-01-07,410,19,391,58.0,In Stock
101490,25120,,122.0,2026-04-01,307,18,289,73.0,In Stock
94757,23477,3286.0,,2026-03-07,197,61,136,93.0,In Stock
93059,4993,1323.0,,2026-07-31,183,79,104,70.0,In Stock
115184,21572,27806.0,,2026-06-12,43,33,10,73.0,Low Stock
107499,25683,7109.0,,2026-04-10,376,78,298,26.0,In Stock
114905,10978,,141.0,2026-03-26,428,21,407,12.0,Overstock
109107,3610,,20.0,2026-04-27,198,83,115,95.0,In Stock
118013,6741,7550.0,,2026-07-27,217,35,182,60.0,In Stock
104615,16903,24400.0,,2026-01-09,1,1,0,69.0,Out of Stock
91611,22821,11712.0,,2026-04-19,315,61,254,89.0,In Stock
117790,24195,17221.0,,2026-06-19,413,30,383,61.0,In Stock
103587,30068,9585.0,,2026-05-16,431,30,401,18.0,Overstock
114556,15802,24677.0,,2026-03-20,410,55,355,15.0,In Stock
108499,22954,18863.0,,2026-04-09,267,70,197,26.0,In Stock
119239,16715,25211.0,,2026-04-04,127,4,123,82.0,In Stock
105114,28622,22170.0,,2026-01-12,396,90,306,82.0,In Stock
110894,17696,14237.0,,2026-03-26,426,100,326,64.0,In Stock
119732,23058,,160.0,2026-05-04,148,21,127,86.0,In Stock
115812,27202,19194.0,,2026-04-28,187,45,142,72.0,In Stock
116795,23957,28255.0,,2026-08-16,247,30,217,77.0,In Stock
106355,26581,,88.0,2026-01-13,443,44,399,49.0,In Stock
97175,26094,28843.0,,2026-01-29,287,4,283,67.0,In Stock
95097,13560,,64.0,2026-03-08,54,20,34,40.0,Low Stock
109306,809,8500.0,,2026-01-11,88,35,53,13.0,In Stock
105411,20921,27444.0,,2026-03-03,287,10,277,76.0,In Stock
101216,1127,16942.0,,2026-02-18,334,51,283,96.0,In Stock
105377,27295,,34.0,2026-04-24,29,3,26,14.0,In Stock
111618,23820,,62.0,2026-05-19,38,36,2,,Low Stock
115896,20482,20110.0,,2026-03-25,221,67,154,38.0,In Stock
95355,27115,25264.0,,2026-07-21,164,94,70,23.0,In Stock
99135,1886,,185.0,2026-03-25,450,86,364,73.0,In Stock
110896,10820,10662.0,,2026-01-20,363,97,266,79.0,N/A
107637,15474,15219.0,,2026-06-16,110,6,104,63.0,In Stock
115063,20986,17580.0,,2026-06-20,30,17,13,52.0,Low Stock
100644,24049,22451.0,,2026-03-07,137,40,97,67.0,unknown
108140,750,,169.0,2026-05-07,298,31,267,60.0,In Stock
109015,16550,5496.0,,2026-08-06,324,21,303,48.0,In Stock
95184,29010,19458.0,,2026-08-17,172,44,128,26.0,In Stock
90097,20636,6494.0,,2026-04-22,236,45,191,46.0,In Stock
107905,17175,4439.0,,2026-04-18,3,1,2,91.0,Low Stock
96073,1534,18052.0,,2026-01-21,479,84,395,45.0,in stock
99540,21064,27915.0,,2026-01-04,118,50,68,95.0,Low Stock
111411,8090,7519.0,,2026-06-17,157,59,98,56.0,In Stock
110573,16523,3661.0,,2026-04-15,473,91,382,86.0,In Stock
103678,6208,,5.0,2026-01-15,168,17,151,76.0,In Stock
105757,24815,1353.0,,2026-03-09,365,81,284,46.0,In Stock
107150,9783,,151.0,2026-02-28,428,76,352,84.0,In Stock
96881,6744,,3.0,2026-04-29,478,67,411,42.0,Overstock
111740,10119,23037.0,,2026-03-30,482,32,450,32.0,Overstock
115466,2636,22896.0,,2026-07-01,472,8,464,96.0,Overstock
93299,15684,16843.0,,2026-04-19,84,83,1,95.0,Low Stock
109017,5968,28051.0,,2027-01-01,263,91,172,53.0,in stock
115237,280,26769.0,,2026-07-07,206,9,197,93.0,In Stock
117931,28203,,7.0,2026-06-04,279,39,240,44.0,In Stock
110195,10564,27410.0,,2026-04-23,270,17,253,25.0,In Stock
100355,18462,9363.0,,2026-04-29,453,3,450,89.0,Overstock
98029,8677,28276.0,,2026-07-31,126,71,55,26.0,In Stock
94126,28080,8430.0,,2026-01-16,115,57,58,82.0,Low Stock
115219,16053,18539.0,,2026-06-02,197,30,167,41.0,In Stock
90251,23328,3930.0,,2026-01-25,149,85,64,57.0,In Stock
95437,19331,10952.0,,2026-03-29,390,85,305,62.0,In Stock
112983,7482,5893.0,,2026-02-27,83,81,2,49.0,Low Stock
100541,20515,,181.0,2026-02-13,485,39,446,59.0,Overstock
98268,19142,,32.0,2026-05-05,403,46,357,52.0,In Stock
119012,9575,12499.0,,2026-03-10,360,72,288,50.0,In Stock
102267,27580,,171.0,2026-08-09,400,85,315,70.0,In Stock
102834,24736,23736.0,,2026-01-05,319,80,239,26.0,In Stock
103171,17311,6276.0,,2026-06-10,57,53,4,12.0,Low Stock
100558,6044,6522.0,,2026-02-24,210,23,187,99.0,In Stock
115044,835,16706.0,,2026-01-19,178,56,122,,In Stock
107896,21984,3239.0,,2026-07-31,265,89,176,12.0,In Stock
102373,11622,19179.0,,2026-05-07,52,45,7,23.0,Low Stock
98341,6732,22763.0,,2026-06-01,154,85,69,89.0,Low Stock
91289,8054,7658.0,,2026-03-03,71,23,48,35.0,In Stock
118834,3462,29451.0,,2026-01-16,496,42,454,20.0,Overstock
90492,4509,10718.0,,2026-04-25,100,121,93,100.0,Low Stock
111127,1083,6392.0,,2026-06-20,292,66,226,86.0,In Stock
99211,6411,6460.0,,2026-08-16,267,62,205,50.0,In Stock
97686,17795,,122.0,2026-08-17,419,92,327,36.0,In Stock
94406,28381,4909.0,,2026-08-15,231,85,146,58.0,In Stock
107537,28626,27603.0,,2026-02-20,124,74,50,15.0,In Stock
118225,3894,14937.0,,2026-02-26,350,9,341,68.0,In Stock
105761,26128,23820.0,,2026-06-23,74,28,46,86.0,Low Stock
92281,25078,19143.0,,2026-06-30,255,97,158,63.0,In Stock
115027,8805,,63.0,2026-04-25,416,34,382,44.0,In Stock
114005,1771,2722.0,,2026-07-28,331,72,259,71.0,In Stock
116823,7504,13754.0,,2026-05-25,404,17,387,90.0,In Stock
106942,29019,25062.0,,2026-06-26,192,4,188,63.0,In Stock
104013,8567,7725.0,,2026-04-27,76,62,14,80.0,Low Stock
105774,15037,5669.0,,2026-08-08,131,16,115,75.0,In Stock
93173,30053,9391.0,,2026-01-06,354,12,342,90.0,In Stock
112810,17624,1830.0,,2026-02-14,480,80,400,56.0,In Stock
115277,7365,,185.0,2026-02-13,217,98,119,74.0,In Stock
119565,25317,8179.0,,2026-07-23,8,5,3,31.0,Low Stock
95069,1316,9965.0,,2026-02-26,391,52,339,36.0,In Stock
115147,8111,14454.0,,2026-01-24,395,78,317,90.0,In Stock
96539,19112,8867.0,,2026-06-04,498,56,442,39.0,Overstock
105040,20243,19141.0,,2026-01-04,405,47,358,56.0,In Stock
93790,28541,13037.0,,2026-02-09,289,2,287,64.0,In Stock
109535,13018,22322.0,,2026-04-28,201,21,180,32.0,In Stock
111093,15701,2488.0,,2026-03-18,39,84,24,85.0,Low Stock
107721,5100,,103.0,2026-07-02,448,33,415,85.0,Overstock
117628,28698,,101.0,2026-03-06,181,93,88,98.0,Low Stock
93395,26585,18427.0,,2026-03-28,427,82,345,50.0,In Stock
110440,19217,13264.0,,2026-03-11,287,41,246,33.0,In Stock
103741,28493,19197.0,,2026-03-22,203,1,202,21.0,In Stock
105847,15358,25111.0,,2026-01-01,41,33,8,17.0,Low Stock
